episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,VAST SEED GROW,FAST PLAN COMPUTE BRIDGE AUTOMATED NETWORK FALL CAT KEY,0,1.2884,1.0000,0.9000,0.0922,0.9000,0.8000,1.0000,13.1561,0.0644
2,BORDER GROW,DUST FORGET MOVE STRONG,0,1.3086,1.0000,0.9333,0.1430,1.0000,0.8000,1.0000,7.0198,0.1266
3,TRUSTED CHILD ATTACK WOOD HELP CAT,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,3.9307,0.1353
4,MARKET,SOLDIER SEE WANT TRUSTED CAMERA HEAR SMALL SECRET CORRUPTED SAD CLOCK,0,1.3363,1.0000,1.0000,0.1817,1.0000,1.0000,1.0000,5.6007,0.1954
5,FOOD FALL,CARRY SEE DORMANT SHARP OBEDIENT GUARD GUARD,0,1.2907,1.0000,0.9333,0.0536,1.0000,0.8000,1.0000,6.2274,0.2501
6,SAD ELDER TRADE WEAK WOMAN HEAR,MOUNTAIN ROAD SEE SMALL SEED BORDER SOLDIER BRIDGE MOVE TIME SOLDIER BURN MOVE GENERATE BREAK,0,1.2709,1.0000,0.8593,0.0657,0.8000,0.7778,1.0000,20.7515,0.3012
7,WOMAN BURN,ORDERED DUST GROW BREAK CHILD BRIDGE,0,1.2025,1.0000,0.6667,0.0127,0.6667,0.3333,1.0000,7.1592,0.3462
8,FREE SEED GROW,ASHAMED KEY FOREST MOVE,0,1.2640,1.0000,0.8222,0.0866,0.8000,0.6667,1.0000,9.0003,0.3921
9,ROOM,SYSTEM UPDATE FAST WOLF,0,1.3497,1.0000,1.0000,0.2487,1.0000,1.0000,1.0000,4.5030,0.4400
10,BRIDGE,FREE SHARP CHILD,0,1.2197,1.0000,0.6667,0.0984,1.0000,0.0000,1.0000,3.6180,0.4790
11,KEY FALL,WOLF,0,1.2185,1.0000,0.6667,0.0923,1.0000,1.0000,0.0000,4.6315,0.5160
12,DRONE BREAK WOOD ENCODE MEMORY UPDATE,LANGUAGE MOVE SEE ELDER GROW HEAR KEY GENERATE,0,1.1532,1.0000,0.4889,0.0325,0.6667,0.8000,0.0000,11.9598,0.5478
13,TRAPPED ELDER ATTACK ENGINE BURN,CARRY ATTACK CHOICE BURN FALL INSECT SEE ACTIVE HEAR TRUST SOLDIER BOOK SENSOR SIMPLE ROBOT,0,1.1984,1.0000,0.6519,0.0142,0.6000,0.5556,0.8000,10.9278,0.5803
14,ENGINE UPDATE ISOLATED,PATTERN,0,1.3181,1.0000,1.0000,0.0904,1.0000,1.0000,1.0000,7.4169,0.6172
15,SYSTEM FAIL,NETWORK DENSE MOVE SIMPLE TRUTH PLAN,0,1.2987,1.0000,0.8667,0.1933,0.6000,1.0000,1.0000,4.0816,0.6513
16,PHONE HEAR CAMERA HEAR TRAPPED TRUSTED,FORGET SEE KEY,0,1.2080,1.0000,0.6667,0.0398,0.6667,0.3333,1.0000,11.3928,0.6791
17,CROWD FOLLOW SYSTEM GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-7.0897,0.6552
18,MAP,MOVE ORDERED ROBOT CAT WEAK SIGNAL GUARD ORDERED FEAR,0,1.3060,1.0000,1.0000,0.0300,1.0000,1.0000,1.0000,3.0877,0.6877
19,TOOL FALL,MOVE CAR FALL,0,1.1030,1.0000,0.3333,0.0148,0.6667,0.3333,0.0000,2.5702,0.7085
