episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,POISON FAIL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,1.2884,0.0100
2,ELDER HELP CROWD KNOW SIMPLE BOOK,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,6.6827,0.0245
3,DOG ATTACK STRANGER SEE ACTIVE FIRE,BURN,1,0.3202,0.0000,1.0000,0.1012,1.0000,1.0000,1.0000,6.8114,0.0393
4,PATTERN,GROW,1,0.2465,0.0000,0.6667,0.2327,1.0000,1.0000,0.0000,1.0311,0.0496
5,ENGINE GENERATE ALGORITHM UPDATE ERROR SEE,KEY MOVE CORRUPTED SECRET LEADER,0,1.3395,1.0000,0.9583,0.2599,0.8750,1.0000,1.0000,22.5693,0.1141
6,FOREST,SPREAD,0,1.2487,1.0000,0.6667,0.2435,1.0000,1.0000,0.0000,5.4193,0.1709
7,WOMAN WARN DENSE DULL LEADER IMAGINE,WEAK DOG,1,0.2336,0.0000,0.7222,0.0847,0.6667,1.0000,0.5000,1.2045,0.1740
8,SENSOR,FAIL,1,0.2216,0.0000,0.6667,0.1078,1.0000,1.0000,0.0000,0.2196,0.1764
9,WATER,BURN,1,0.2030,0.0000,0.6667,0.0149,1.0000,1.0000,0.0000,0.1212,0.1777
10,GUARD SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,0.1543,0.1788
11,DIRTY SOLDIER SEE LEADER KNOW ROAD,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,2.7559,0.1849
12,SMALL GUARD BURN,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.2326,0.1906
13,DUST,GROW,0,1.2198,1.0000,0.6667,0.0991,1.0000,1.0000,0.0000,4.6329,0.2421
14,RIVER,BURN,0,1.2080,1.0000,0.6667,0.0398,1.0000,1.0000,0.0000,4.5751,0.2904
15,TIME FAIL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-0.5156,0.2859
16,DOG ATTACK HORSE BREAK SHARP SIMPLE,ROBOT,0,1.3413,1.0000,1.0000,0.2067,1.0000,1.0000,1.0000,22.9773,0.3386
17,ALGORITHM FAIL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-0.7862,0.3317
18,SMALL KEY,GROW,1,0.3228,0.0000,1.0000,0.1142,1.0000,1.0000,1.0000,-0.0723,0.3313
19,OBEDIENT BIRD MOVE FOREST HEAR BOOK,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-0.6578,0.3297
20,ALGORITHM SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-0.7680,0.3232
21,AUTOMATED IDENTITY SPREAD,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-0.2112,0.3221
22,CLOCK GENERATE BORDER UPDATE ORDERED WEAPON,SEE BIG FIRE,1,0.3263,0.0000,0.9444,0.2146,0.8333,1.0000,1.0000,0.0820,0.3223
23,PHONE SEE METAL HEAR SIMPLE CLOCK,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-0.4696,0.3212
24,ROAD,FALL,0,1.2333,1.0000,0.6667,0.1667,1.0000,1.0000,0.0000,4.0627,0.3668
25,VAST CHANCE GROW,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-0.6798,0.3634
26,SLOW FIRE BURN,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-0.5979,0.3603
27,PHONE SEE TRUSTED DEAD MAN,MOVE DULL POISON,1,0.3073,0.0000,1.0000,0.0366,1.0000,1.0000,1.0000,-0.8824,0.3576
