global_episode,round,trained_side,prefix,completion,valid,attacker_reward,loss
1,1,attacker,SEED BURN FALL FALL MOVE MAP,MOVE ISOLATED BOOK FAIL,0,1.2180,14.3054
2,1,attacker,CHAOTIC COMPUTER HEAR FIRE FAIL FAIL,FALL GENERATE BROKEN ASHAMED ELDER SEE CORRUPTED NETWORK,0,1.2138,13.8319
3,1,attacker,WOMAN BETRAY DULL SECRET CROWD MOVE,OBEDIENT STRANGER FALL CARRY KEY WARN WEAK DIRTY DULL GUARD,0,1.1647,14.2693
4,1,attacker,STRONG SOLDIER BURN HEAR WATER MOVE,SECRET BIG LEADER BUILD RIVER SEE BIRD,0,1.2265,13.6004
5,1,attacker,TOOL GROW BURN SPREAD GROW BURN,MOVE BIG ENGINE FALL,0,1.2565,8.3069
6,1,attacker,CLEAN STONE BURN GROW BURN BURN,COMPUTE MEMORY GENERATE SIMPLE ENCRYPTED TIME,0,1.3456,8.0488
7,1,attacker,POISON FAIL FALL BURN FAIL SPREAD,MOVE CORRUPTED CLEAN BOOK,0,1.2941,7.4958
8,1,attacker,CHANCE SPREAD SPREAD SPREAD SPREAD SPREAD,SHARP SENSOR GROW KNOW SMALL DORMANT ROBOT,0,1.3254,4.8052
9,1,attacker,CLOCK MOVE WEAPON SEE SAD PROUD,STRANGER UPDATE ORDERED CHAOTIC SIGNAL,1,0.2706,-10.7017
10,1,attacker,GUARD MOVE CONNECTED MOUNTAIN HEAR CORRUPTED,LAW FALL BURN WARN SECRET DOG,0,1.2340,10.1176
11,1,attacker,DEBT,GROW SPREAD FALL MOVE HEAVY FIRE,0,1.3641,-5.0676
12,1,attacker,CORRUPTED SIGNAL SPREAD GROW GROW GROW,WEAK SEED GROW SEE CALM SECRET CAT,0,1.2557,4.7885
13,1,attacker,KEY FALL BURN FAIL GROW BURN,LEADER MOVE ENGINE HEAR DEAD ORDERED MAN,0,1.2760,5.2910
14,1,attacker,CHOICE SPREAD SPREAD GROW SPREAD GROW,HEAR ORDERED VAST POISON,0,1.3081,3.5100
15,1,attacker,STRONG TOOL SPREAD MOVE COMPLEX CLOCK,FALL SEE CHILD MOVE ANGRY WOLF,0,1.2887,7.0347
16,1,attacker,SECRET SOLDIER HEAR METAL SPREAD BURN,HEAR FAMOUS OPTIMAL KEY GROW,0,1.2208,4.4920
17,1,attacker,STONE BURN BURN BURN FALL BURN,SECRET BORDER MOVE ENCRYPTED HEAVY KEY,0,1.2731,1.8473
18,1,attacker,WOLF EAT FOOD MOVE ROAD ATTACK,CHAOTIC PHONE SPREAD SYSTEM,0,1.3400,6.2737
19,1,attacker,ALGORITHM FAIL SPREAD SPREAD GROW GROW,FALL MOVE WEAPON HEAR CLEAN STRONG WEAPON,0,1.4832,5.1425
20,1,attacker,BROKEN SOLDIER,MOVE ACTIVE CORRUPTED PHONE HEAR SHARP CORRUPTED MAP,1,0.4138,-8.0860
21,1,attacker,REBELLIOUS,GUARD SEE MAN CHOOSE SECRET SIMPLE HAPPY SOLDIER FALL,0,1.3956,-5.9630
22,1,attacker,PHONE MOVE ACTIVE SIMPLE SEED HEAR,WEAK FAST CROWD FALL,1,0.2672,-13.5300
23,1,attacker,PATTERN SPREAD FAIL FAIL FAIL SPREAD,IMAGINE SHARP DIRTY KEY,0,1.3496,2.1982
24,1,attacker,WOMAN HEAR ROBOT BREAK CLEAN WEAPON,FORGET METAL WANT VAST ORDERED DUST,0,1.2549,2.8609
25,1,attacker,FOOD BURN BURN BURN BURN BURN,FALL SEE TOOL FALL,0,1.4224,1.5768
26,1,attacker,LIE SPREAD SPREAD SPREAD SPREAD SPREAD,FALL FALL GROW WEAPON,0,1.6255,3.2862
27,1,attacker,STONE FALL FALL FALL BURN FALL,MOVE FIRE MOVE FREE DOG,0,1.4900,2.8532
28,1,attacker,POISON BURN SPREAD FAIL FAIL FALL,FALL FAIL GROW MOVE COMPLEX CORRUPTED PHONE,0,1.2556,0.0856
29,1,attacker,ENCRYPTED DEBT GROW SPREAD SPREAD SPREAD,FAIL MOVE DORMANT DRONE,0,1.2881,0.2228
30,1,attacker,CLOCK GENERATE LIE FALL MOVE CAR,ENCODE CHAOTIC SYSTEM FAIL,1,0.3023,-18.8022
31,1,attacker,KEY BURN FAIL BURN SPREAD BURN,FALL HEAR SIMPLE PROUD BIG HORSE,0,1.3185,0.7401
32,1,attacker,LEADER BURN BREAK CHAOTIC MAP BURN,STRONG KEY FALL BREAK WEAK ENGINE,0,1.1946,-1.1884
33,1,attacker,REBELLIOUS SOLDIER SEE METAL BURN FORGET,COMPLEX WEAK LEADER MOUNTAIN CARRY SECRET HAPPY WEAPON,0,1.2489,-0.5954
34,1,attacker,CAT SEE CONNECTED WOMAN FORGET SMALL,SIMPLE MAP RUN ELDER,0,1.2604,-0.8778
35,1,attacker,SECRET BOOK BURN FAIL,UPDATE CORRUPTED ORDERED PATTERN SPREAD,0,1.2754,-2.0813
36,1,attacker,SLOW CROWD HEAR LAW MOVE ORDERED,OUTCAST CHILD SEE PROUD STRANGER,0,1.2014,-2.4548
37,1,attacker,POISON GROW FAIL FAIL,SPREAD GENERATE CHANCE ENCODE DORMANT OPTIMAL CAR,0,1.2895,-1.9611
38,1,attacker,BROKEN COMPUTER FALL FALL FAIL FALL,WEAPON MOVE STRONG SEED COMPUTE SIMPLE SIGNAL,0,1.2553,-1.0305
39,1,attacker,STRANGER BREAK METAL BURN RUN EAT,SMALL BROKEN SOLDIER FORGET MEMORY CARRY ANGRY SHARP CHILD,0,1.2612,-1.9457
40,1,attacker,CORRUPTED LANGUAGE GROW SPREAD SPREAD SPREAD,MOVE OPTIMAL ENGINE UPDATE CLEAN BROKEN DRONE,0,1.2708,-0.9609
41,1,attacker,MAP BURN BURN BURN SPREAD BURN,UPDATE FAST CAR MOVE CLOCK MOVE ISOLATED LEADER,0,1.4173,0.3038
42,1,attacker,PATTERN GROW FAIL SPREAD FAIL SPREAD,MOVE BIG BIRD FALL,0,1.3585,-0.4521
43,1,attacker,STONE BURN FALL BURN BURN BURN,GROW FAIL MOVE SHARP WOOD,0,1.1972,-1.4797
44,1,attacker,SAD DOG SEE GUARD MOVE MOUNTAIN,FALL HEAR SECRET DULL BOOK,1,0.2191,-23.2630
45,1,attacker,MAN MOVE SECRET CHILD FORGET DORMANT,DRONE BURN FORGET COMPLEX IDENTITY,0,1.2590,-2.8162
46,1,attacker,DORMANT COMPUTER FAIL FAIL FAIL FALL,BURN HEAR CONNECTED DENSE CAMERA,0,1.2212,-1.6577
47,1,attacker,SECRET MAP SPREAD,FALL SEE SIMPLE SLOW SOLDIER,0,1.3247,-3.7337
48,1,attacker,POISON SPREAD BURN GROW FAIL SPREAD,UPDATE AUTOMATED CLEAN KEY UPDATE CHAOTIC MAP,0,1.4213,0.0995
49,1,attacker,SIMPLE GUARD BURN FORGET AUTOMATED SLOW,CHOICE MOVE CAR BREAK CORRUPTED NETWORK,0,1.2131,-4.1507
50,1,attacker,KEY FAIL BURN FAIL BURN BURN,FALL FALL BREAK METAL,0,1.5236,0.9081
51,1,attacker,SIMPLE NETWORK HEAR OBEDIENT DIRTY MAN,MOVE MAP HEAR ACTIVE WOLF,0,1.2235,-4.5085
52,1,attacker,SIGNAL FAIL FAIL FAIL SPREAD FAIL,UPDATE COMPLEX DIRTY FOOD,0,1.2950,-1.5248
53,1,attacker,LANGUAGE GROW GROW SPREAD GROW SPREAD,HEAR COMPLEX HEAVY ENGINE,0,1.3129,-1.4804
54,1,attacker,BOOK,GROW COMPUTER MOVE DUST,0,1.1980,-9.2011
55,1,attacker,STRONG WOLF TRADE DENSE CLEAN ELDER,FALL TIME HEAR WEAPON,0,1.3168,-2.8281
56,1,attacker,DENSE CAMERA HEAR CLEAN CLEAN DOG,MOVE HAPPY DIRTY GUARD,0,1.2552,-4.4888
57,1,attacker,CHILD HELP CLEAN HORSE BURN EAT,WATER FALL GROW HEAR OBEDIENT BIRD,0,1.2544,-4.4467
58,1,attacker,HAPPY DOG CHOOSE SAD AUTOMATED SOLDIER,BUILD OBEDIENT VAST CAT,0,1.2416,-4.9799
59,1,attacker,PHONE MOVE CAMERA SEE LEADER MOVE,DRONE SEE OPTIMAL KEY,1,0.2417,-23.3552
60,1,attacker,WEAK ENGINE FALL FAIL FALL FALL,HEAR BIG ELDER MOVE BROKEN ENCRYPTED GUARD,0,1.3064,-1.7773
61,1,attacker,SAD,CROWD FALL CORRUPTED DRONE MOVE SHARP BOOK,0,1.4171,-8.4549
62,1,attacker,POWER SPREAD GROW SPREAD SPREAD SPREAD,BIG SMALL DORMANT DRONE,0,1.3317,-1.2525
63,1,attacker,STRANGER EAT SMALL STONE CHOOSE CALM,WEAK GUARD HEAR DORMANT SOLDIER,1,0.2355,-25.8456
64,1,attacker,ROBOT UPDATE CAR COMPUTE SYSTEM UPDATE,SLOW CALM DENSE CAR FALL,0,1.3245,-2.0497
65,1,attacker,MEMORY FAIL SPREAD SPREAD SPREAD GROW,MOVE ENCRYPTED SIMPLE CLOCK SPREAD,0,1.2653,-1.9405
66,1,attacker,LEADER,MOVE ENCRYPTED TOOL SEE WOOD HEAR OUTCAST CROWD,0,1.2965,-8.3519
67,1,attacker,OBEDIENT SOLDIER BURN SPREAD MOVE SLOW,SENSOR FALL GENERATE COMPLEX PLAN,0,1.2965,-3.0379
68,1,attacker,SENSOR MOVE CHILD ENCODE AUTOMATED CORRUPTED,SYSTEM GENERATE ENCRYPTED TIME,0,1.2509,-4.4615
69,1,attacker,WOLF MOVE ENCRYPTED WEAK CLOCK WANT,CAT TALK BURN HEAR TRUTH,1,0.2464,-24.8396
70,1,attacker,STRONG SENSOR BREAK ENGINE MOVE COMPUTER,COMPUTE SYSTEM SEE VAST SECRET BORDER,1,0.3204,-24.2284
71,1,attacker,ROBOT ENCODE SIMPLE OPTIMAL SYSTEM HEAR,ACTIVE SLOW FREE PLAN COMPUTE SYSTEM,0,1.2200,-3.1570
72,1,attacker,PROUD,STRANGER HEAR SHARP CLEAN KEY,1,0.3333,-13.7574
73,1,attacker,IDENTITY GROW SPREAD GROW,MOVE SAD DENSE GUARD,0,1.3138,-1.6933
74,1,attacker,SOLDIER BURN HEAR STONE FALL BREAK,DENSE SENSOR SPREAD MOVE COMPLEX SOLDIER,1,0.2652,-19.7883
75,1,attacker,ELDER BURN WANT REBELLIOUS TRAPPED,GUARD TALK HEAR MAP,0,1.2497,-2.7788
76,1,attacker,WOLF EAT FOOD TALK FOLLOW DEBT,HEAR COMPLEX POWER SPREAD,1,0.3003,-23.5859
77,1,attacker,ACTIVE PLAN,UPDATE ERROR FAIL FAIL,0,1.6482,-2.5900
78,1,attacker,WOMAN BURN HEAR FAST PLAN BETRAY,ELDER CHOOSE CHAOTIC PROUD STRANGER CARRY TRAPPED PROUD GUARD FALL,0,1.3284,-0.5614
