episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,WOLF THINK SHARP DORMANT BIRD,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,5.7904,0.0150
2,STRONG STRANGER RUN,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,3.1811,0.0292
3,CAR FALL,CARRY CHOOSE DOG OUTCAST,0,1.2962,1.0000,0.9333,0.0810,1.0000,0.8000,1.0000,8.0690,0.0926
4,WOLF HEAR LAW GROW,WOLF BREAK COMPLEX LEADER SEE ELDER PATTERN DULL VAST CONNECTED DENSE LANGUAGE PRISON PROUD BROKEN,0,1.2076,1.0000,0.6889,0.0046,0.6667,0.4000,1.0000,17.4787,0.1483
5,DRONE HEAR DRONE COMPUTE SIMPLE,ASK FALL,0,1.3293,1.0000,1.0000,0.1466,1.0000,1.0000,1.0000,20.3564,0.2074
6,METAL BURN,WOLF HEAR DRONE CARRY DOG BRIDGE SOLDIER,0,1.2012,1.0000,0.6000,0.1061,1.0000,0.8000,0.0000,6.1741,0.2571
7,SOLDIER,FALL UPDATE BREAK COMPUTE MEMORY FOOD LEADER,0,1.1709,1.0000,0.5556,0.0211,0.6667,1.0000,0.0000,4.5028,0.3028
8,DIRTY STONE,FALL CHOOSE CHAOTIC CHOICE MOUNTAIN,0,1.3093,1.0000,0.8889,0.2133,1.0000,1.0000,0.6667,8.6019,0.3531
9,DEAD WEAPON,LEADER DULL ALGORITHM ELDER FALL SHARP TRADE ACTIVE,0,1.3978,1.0000,0.8667,0.6892,1.0000,1.0000,0.6000,8.2777,0.4053
10,WOOD BURN,FAIL BRIDGE RULE ACTIVE,0,1.3667,1.0000,1.0000,0.3335,1.0000,1.0000,1.0000,5.5489,0.4534
11,STRONG STRANGER BURN,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-1.5979,0.4457
12,DULL MAP GROW,ELDER WOLF TRUST HEAR STRANGER SEED CORRUPTED INSECT SPREAD MOVE CAMERA BURN WEAPON SMALL FREE,0,1.2743,1.0000,0.8737,0.0609,0.8750,0.8889,0.8571,8.0280,0.4872
13,LIE GROW,FIRE MOVE SLOW FREE BUILD BURN FORGET,0,1.3038,1.0000,0.9524,0.0906,1.0000,0.8571,1.0000,4.4661,0.5280
14,CLOCK HEAR CALM WOLF UPDATE,MAN CARRY FAST ASHAMED WOLF,0,1.2303,1.0000,0.7000,0.1015,0.6000,1.0000,0.5000,11.7986,0.5631
15,CLEAN MAN SEE FAMOUS COMPLEX,COMPLEX ANGRY BURN BREAK BROKEN ENCRYPTED VAST CONNECTED COMPLEX CLEAN CAR WANT FOOD GROW INSECT,0,1.2441,1.0000,0.7635,0.0754,0.8571,0.8333,0.6000,13.3197,0.5972
16,AUTOMATED SENSOR,ERROR GROW TRAPPED UPDATE RIVER PHONE BIRD SHARP CHILD CHOICE KNOW,0,1.2952,1.0000,0.9333,0.0762,0.8000,1.0000,1.0000,5.5463,0.6321
17,BORDER,SEED FALL,0,1.2714,1.0000,0.6667,0.3568,1.0000,1.0000,0.0000,3.0125,0.6640
18,DEAD MAP,CHOICE SENSOR GROW,0,1.3861,1.0000,1.0000,0.4307,1.0000,1.0000,1.0000,5.5464,0.7001
19,REBELLIOUS LEADER,,0,1.2000,1.0000,0.6667,0.0000,1.0000,0.0000,1.0000,3.4994,0.7251
