episode,prefix,completion,valid,reward,grammar_reward,tag_reward,axis_reward,noun_tag_dist,verb_tag_dist,adj_tag_dist,loss,baseline
1,ACTIVE FIRE SPREAD,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,2.8351,0.0150
2,LIE SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,0.8760,0.0243
3,LIE,GROW,1,0.2831,0.0000,0.6667,0.4155,1.0000,1.0000,0.0000,0.9095,0.0372
4,COMPLEX TOOL BURN,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,2.3521,0.0503
5,CHANCE GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,0.7753,0.0578
6,CROWD SPREAD,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,0.8268,0.0649
7,CHAOTIC BOOK,BURN,0,1.3287,1.0000,1.0000,0.1435,1.0000,1.0000,1.0000,11.1916,0.1281
8,CORRUPTED ALGORITHM,SPREAD,0,1.4000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,10.4562,0.1917
9,SEED MOVE DOG FALL,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-0.0546,0.1921
10,CHANCE,GROW,1,0.2622,0.0000,0.6667,0.3110,1.0000,1.0000,0.0000,0.0907,0.1956
11,ROBOT COMPUTE SIMPLE SECRET SIGNAL BUILD,SIMPLE SENSOR COMPUTE SECRET MEMORY FALL,1,0.0857,0.0000,0.2667,0.0283,0.4000,0.4000,0.0000,-1.9581,0.1901
12,CITY,SPREAD,0,1.2032,1.0000,0.6667,0.0162,1.0000,1.0000,0.0000,4.3453,0.2408
13,FAST BIRD HELP DENSE WEAK ELDER,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.9909,0.2437
14,FIRE MOVE KEY GROW,,1,0.2000,0.0000,0.6667,0.0000,1.0000,1.0000,0.0000,-0.7064,0.2416
15,ENCRYPTED ERROR,GROW,0,1.3471,1.0000,1.0000,0.2354,1.0000,1.0000,1.0000,8.6461,0.2968
16,CROWD HELP BROKEN BIG SOLDIER HEAR,FAMOUS SLOW ENGINE MOVE AUTOMATED KEY GROW,0,1.3139,1.0000,1.0000,0.0693,1.0000,1.0000,1.0000,19.1548,0.3477
17,CHAOTIC SEED,MOVE COMPLEX TOOL BURN,0,1.2784,1.0000,0.7778,0.2255,0.6667,1.0000,0.6667,7.7856,0.3942
18,CAR HEAR WOOD SEE STONE SEE,SLOW SLOW COMPUTER UPDATE WEAK ROBOT,0,1.3221,1.0000,0.9444,0.1937,0.8333,1.0000,1.0000,17.8190,0.4406
19,VAST HORSE,BURN,0,1.3138,1.0000,1.0000,0.0688,1.0000,1.0000,1.0000,7.5390,0.4843
20,DRONE BREAK CAR HEAR CALM HORSE,,1,0.3000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,-4.1807,0.4751
21,OPTIMAL CHOICE,UPDATE ISOLATED SECRET BORDER UPDATE AUTOMATED KEY,0,1.2527,1.0000,0.7667,0.1133,0.8000,1.0000,0.5000,6.1568,0.5139
22,ERROR,SPREAD,1,0.2312,0.0000,0.6667,0.1559,1.0000,1.0000,0.0000,-1.4578,0.4998
23,PROUD STRANGER BETRAY SIMPLE FREE,CAT BURN,0,1.3166,1.0000,0.8889,0.2496,0.6667,1.0000,1.0000,13.6101,0.5406
24,FAST CHILD WANT CAR BETRAY WEAK,HORSE,1,0.2928,0.0000,0.9333,0.0638,0.8000,1.0000,1.0000,-5.8481,0.5282
25,INSECT,HEAR NETWORK HEAR BOOK HEAR OPTIMAL HAPPY GUARD HEAR ACTIVE PLAN GROW,1,0.2939,0.0000,0.9630,0.0250,0.8889,1.0000,1.0000,-1.2743,0.5165
26,ENGINE HEAR SIGNAL SEE SEED GENERATE,BORDER,1,0.2183,0.0000,0.6190,0.1630,0.8571,1.0000,0.0000,-6.1469,0.5016
27,HEAVY MAN,BURN,0,1.3255,1.0000,1.0000,0.1274,1.0000,1.0000,1.0000,7.1527,0.5428
28,ACTIVE WOLF HEAR CHOICE MOVE CHAOTIC,ROBOT,1,0.3218,0.0000,1.0000,0.1089,1.0000,1.0000,1.0000,-4.7587,0.5318
